model,status,mse,mae,rmse,mape,r2,params,checkpoint,cnn_variant,rnn_type,attn_variant
tgm,ok,0.17152397334575653,0.1292278915643692,0.41415452834148336,2.573904037475586,0.8284063846113757,4918023,../model_we/tgm.pt,tcn,gru,multiscale
tlm,ok,0.1785019040107727,0.136271670460701,0.4224948567861776,2.4564645290374756,0.8214256108127578,4918023,../model_we/tlm.pt,tcn,lstm,multiscale
dgm,ok,0.18237586319446564,0.14350931346416473,0.4270548714093607,3.4408092498779297,0.8175500892823676,4499936,../model_we/dgm.pt,dilated,gru,multiscale
sgm,ok,0.18522313237190247,0.14086218178272247,0.43037557130011744,2.761003017425537,0.814701656292946,4495169,../model_we/sgm.pt,standard,gru,multiscale
tls,ok,0.20013588666915894,0.15669645369052887,0.4473654956175755,3.3056743144989014,0.7997828492016187,3867399,../model_we/tls.pt,tcn,lstm,standard
