model,status,mse,mae,rmse,mape,r2,params,checkpoint,cnn_variant,rnn_type,attn_variant
tlm,ok,0.11589144915342331,0.23078712821006775,0.3404283318900225,2.1713504791259766,0.883941272753561,5226123,../model/tlm.pt,tcn,lstm,multiscale
tgm,ok,0.1230759546160698,0.23907507956027985,0.3508218274510151,2.2489125728607178,0.8767463989216979,5226123,../model/tgm.pt,tcn,gru,multiscale
tls,ok,0.12728244066238403,0.2430785894393921,0.3567666473514362,2.1844840049743652,0.8725338451738465,4175499,../model/tls.pt,tcn,lstm,standard
dgm,ok,0.12880532443523407,0.24257655441761017,0.35889458680124176,2.221557140350342,0.8710087533574077,4776236,../model/dgm.pt,dilated,gru,multiscale
sgm,ok,0.13501615822315216,0.24888722598552704,0.3674454493161565,2.309082269668579,0.8647889585322307,4774469,../model/sgm.pt,standard,gru,multiscale
