model,status,mse,mae,rmse,mape,r2,params,checkpoint,cnn_variant,rnn_type,attn_variant
tlm,ok,0.1949155032634735,0.21313370764255524,0.44149235923566504,3.8975913524627686,0.805341008732487,5781730,../model_tr/tlm.pt,tcn,lstm,multiscale
sgm,ok,0.19936807453632355,0.21631482243537903,0.4465065223894535,3.962860107421875,0.8008942926533467,5278140,../model_tr/sgm.pt,standard,gru,multiscale
dgm,ok,0.20133905112743378,0.21754255890846252,0.4487082026522735,3.9563517570495605,0.7989259190287932,5274497,../model_tr/dgm.pt,dilated,gru,multiscale
tgm,ok,0.20290815830230713,0.22199475765228271,0.45045328093189324,4.139718055725098,0.7973588696616007,5781730,../model_tr/tgm.pt,tcn,gru,multiscale
tls,ok,0.20611849427223206,0.2223973423242569,0.4540027469875398,4.017626762390137,0.7941527610304623,4731106,../model_tr/tls.pt,tcn,lstm,standard
