model,status,dataset,seq_len,horizon,normalize,cnn_variant,rnn_type,attn_variant,pos,ca,direction,heads,wav_on,wavelet_on,wavelet_base,wavelet_level,wavelet_mode,wavelet_take,arch,params,checkpoint,mse,mae,rmse,mape,r2,rev_on,dec_on
ctrl_revin-off__standard-standard-lstm-posnone-caoff_patched__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,False,False,db4,3,symmetric,all,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_revin-off__standard-standard-lstm-posnone-caoff_patched__539bf738.pt,0.16998708248138428,0.28408128023147583,0.41229489747192394,2.5141632556915283,0.8297675848007202,False,False
ctrl_rnn-ssm__standard-standard-ssm-posnone-caoff_patched__cc3dff73,ok,electricity_removed,64,3,standard,standard,ssm,standard,none,off,bi,4,False,False,db4,3,symmetric,all,standard+ssm+standard,1072197,./getmodel/bestmodel/ctrl_rnn-ssm__standard-standard-ssm-posnone-caoff_patched__cc3dff73.pt,0.17022886872291565,0.2842487692832947,0.41258801330493794,2.530351161956787,0.8295254111289978,False,False
ctrl_pos-alibi__standard-standard-lstm-posalibi-caoff_patched__9408cc84,ok,electricity_removed,64,3,standard,standard,lstm,standard,alibi,off,bi,4,False,False,db4,3,symmetric,all,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_pos-alibi__standard-standard-lstm-posalibi-caoff_patched__9408cc84.pt,0.17079314589500427,0.28523969650268555,0.4132712739775223,2.5080671310424805,0.8289602994918823,False,False
ctrl_decomp-off__standard-standard-lstm-posnone-caoff_patched__dd6f18f6,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,False,False,db4,3,symmetric,all,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_decomp-off__standard-standard-lstm-posnone-caoff_patched__dd6f18f6.pt,0.17088371515274048,0.2849219739437103,0.4133808354928183,2.526440143585205,0.8288695812225342,False,False
ctrl_ca-se__inception-standard-lstm-posnone-case_patched__bda5f85c,ok,electricity_removed,64,3,standard,inception,lstm,standard,none,se,bi,4,False,False,db4,3,symmetric,all,inception+lstm+standard,1078051,./getmodel/bestmodel/ctrl_ca-se__inception-standard-lstm-posnone-case_patched__bda5f85c.pt,0.17150969803333282,0.28513747453689575,0.4141372937002086,2.612612724304199,0.8282427191734314,False,False
ctrl_attn-conformer__standard-conformer-lstm-posnone-caoff_patched__c3fd06e3,ok,electricity_removed,64,3,standard,standard,lstm,conformer,none,off,bi,4,False,False,db4,3,symmetric,all,standard+lstm+conformer,2325830,./getmodel/bestmodel/ctrl_attn-conformer__standard-conformer-lstm-posnone-caoff_patched__c3fd06e3.pt,0.17189688980579376,0.28806400299072266,0.4146044980530165,2.63004469871521,0.8278549909591675,False,False
ctrl_cnn-dilated__dilated-standard-lstm-posnone-caoff_patched__79ad0c0e,ok,electricity_removed,64,3,standard,dilated,lstm,standard,none,off,bi,4,False,False,db4,3,symmetric,all,dilated+lstm+standard,1073964,./getmodel/bestmodel/ctrl_cnn-dilated__dilated-standard-lstm-posnone-caoff_patched__79ad0c0e.pt,0.17294065654277802,0.2870577871799469,0.41586134292908017,2.543787717819214,0.8268097043037415,False,False
ctrl_ca-eca__dilated-standard-lstm-posnone-caeca_patched__acfa224d,ok,electricity_removed,64,3,standard,dilated,lstm,standard,none,eca,bi,4,False,False,db4,3,symmetric,all,dilated+lstm+standard,1073970,./getmodel/bestmodel/ctrl_ca-eca__dilated-standard-lstm-posnone-caeca_patched__acfa224d.pt,0.17314039170742035,0.28661999106407166,0.41610141997765443,2.618863582611084,0.8266096711158752,False,False
ctrl_ca-off__dilated-standard-lstm-posnone-caoff_patched__79ad0c0e,ok,electricity_removed,64,3,standard,dilated,lstm,standard,none,off,bi,4,False,False,db4,3,symmetric,all,dilated+lstm+standard,1073964,./getmodel/bestmodel/ctrl_ca-off__dilated-standard-lstm-posnone-caoff_patched__79ad0c0e.pt,0.17329487204551697,0.2875013053417206,0.4162870068180329,2.5616707801818848,0.8264549970626831,False,False
ctrl_baseline__standard-standard-lstm-posnone-caoff_patched__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,False,False,db4,3,symmetric,all,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_baseline__standard-standard-lstm-posnone-caoff_patched__539bf738.pt,0.17396065592765808,0.28751882910728455,0.41708590952902985,2.520216226577759,0.8257882595062256,False,False
