model,status,dataset,seq_len,horizon,normalize,cnn_variant,rnn_type,attn_variant,pos,ca,direction,heads,wav_on,wavelet_on,wavelet_base,wavelet_level,wavelet_mode,wavelet_take,arch,params,checkpoint,mse,mae,rmse,mape,r2,rev_on,dec_on
ctrl_wavelet-db4-L2-symmetric-approx__standard-standard-lstm-posnone-caoff_patch__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,db4,2,symmetric,approx,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_wavelet-db4-L2-symmetric-approx__standard-standard-lstm-posnone-caoff_patch__539bf738.pt,0.44678351283073425,0.4522205889225006,0.6684186658305813,3.3357391357421875,0.854614794254303,False,False
ctrl_wavelet-coif5-L2-periodization-approx__standard-standard-lstm-posnone-caoff__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,coif5,2,periodization,approx,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_wavelet-coif5-L2-periodization-approx__standard-standard-lstm-posnone-caoff__539bf738.pt,0.4526166319847107,0.4559425115585327,0.6727678886396933,2.961576223373413,0.8543531894683838,False,False
ctrl_wavelet-coif5-L2-symmetric-approx__standard-standard-lstm-posnone-caoff_pat__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,coif5,2,symmetric,approx,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_wavelet-coif5-L2-symmetric-approx__standard-standard-lstm-posnone-caoff_pat__539bf738.pt,0.47319817543029785,0.4674642086029053,0.6878940146783499,2.564788818359375,0.8473936915397644,False,False
ctrl_wavelet-db4-L2-periodization-approx__standard-standard-lstm-posnone-caoff_p__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,db4,2,periodization,approx,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_wavelet-db4-L2-periodization-approx__standard-standard-lstm-posnone-caoff_p__539bf738.pt,0.4931369125843048,0.48334044218063354,0.702237077192813,2.808486223220825,0.8401609659194946,False,False
ctrl_wavelet-coif5-L3-symmetric-approx__standard-standard-lstm-posnone-caoff_pat__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,coif5,3,symmetric,approx,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_wavelet-coif5-L3-symmetric-approx__standard-standard-lstm-posnone-caoff_pat__539bf738.pt,0.6576351523399353,0.5346196293830872,0.8109470712321091,2.5732810497283936,0.8471251130104065,False,False
ctrl_wavelet-haar-L3-periodization-approx__standard-standard-lstm-posnone-caoff___539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,haar,3,periodization,approx,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_wavelet-haar-L3-periodization-approx__standard-standard-lstm-posnone-caoff___539bf738.pt,0.7327951192855835,0.5788813233375549,0.8560345315964675,4.217811107635498,0.8143589496612549,False,False
ctrl_wavelet-haar-L3-symmetric-approx__standard-standard-lstm-posnone-caoff_patc__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,haar,3,symmetric,approx,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_wavelet-haar-L3-symmetric-approx__standard-standard-lstm-posnone-caoff_patc__539bf738.pt,0.7335799932479858,0.5819295644760132,0.8564928448317509,4.249053478240967,0.8141601085662842,False,False
ctrl_wavelet-db4-L3-symmetric-approx__standard-standard-lstm-posnone-caoff_patch__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,db4,3,symmetric,approx,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_wavelet-db4-L3-symmetric-approx__standard-standard-lstm-posnone-caoff_patch__539bf738.pt,0.7429596781730652,0.5857292413711548,0.8619510880398407,4.024900436401367,0.8057674169540405,False,False
ctrl_wavelet-coif5-L3-periodization-approx__standard-standard-lstm-posnone-caoff__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,coif5,3,periodization,approx,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_wavelet-coif5-L3-periodization-approx__standard-standard-lstm-posnone-caoff__539bf738.pt,0.7470085024833679,0.5852376222610474,0.864296536197715,3.225499153137207,0.8247674703598022,False,False
ctrl_wavelet-db4-L3-periodization-approx__standard-standard-lstm-posnone-caoff_p__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,db4,3,periodization,approx,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_wavelet-db4-L3-periodization-approx__standard-standard-lstm-posnone-caoff_p__539bf738.pt,0.7677868604660034,0.5974745154380798,0.8762344780171591,4.334850788116455,0.8190231323242188,False,False
ctrl_wavelet-coif5-L4-periodization-approx__standard-standard-lstm-posnone-caoff__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,coif5,4,periodization,approx,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_wavelet-coif5-L4-periodization-approx__standard-standard-lstm-posnone-caoff__539bf738.pt,0.8452922105789185,0.6030275821685791,0.9193977434053874,5.1731648445129395,0.7833713293075562,False,False
ctrl_wavelet-db4-L4-periodization-approx__standard-standard-lstm-posnone-caoff_p__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,db4,4,periodization,approx,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_wavelet-db4-L4-periodization-approx__standard-standard-lstm-posnone-caoff_p__539bf738.pt,0.8804431557655334,0.6146062612533569,0.9383193250517297,3.2079079151153564,0.7882776260375977,False,False
ctrl_wavelet-coif5-L4-symmetric-approx__standard-standard-lstm-posnone-caoff_pat__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,coif5,4,symmetric,approx,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_wavelet-coif5-L4-symmetric-approx__standard-standard-lstm-posnone-caoff_pat__539bf738.pt,0.936945378780365,0.6284219622612,0.9679593890140046,3.1211347579956055,0.7735943794250488,False,False
ctrl_wavelet-haar-L4-symmetric-approx__standard-standard-lstm-posnone-caoff_patc__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,haar,4,symmetric,approx,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_wavelet-haar-L4-symmetric-approx__standard-standard-lstm-posnone-caoff_patc__539bf738.pt,0.9848142266273499,0.6602888107299805,0.9923780663776028,3.3110532760620117,0.7924203276634216,False,False
ctrl_wavelet-haar-L4-periodization-approx__standard-standard-lstm-posnone-caoff___539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,haar,4,periodization,approx,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_wavelet-haar-L4-periodization-approx__standard-standard-lstm-posnone-caoff___539bf738.pt,0.9964297413825989,0.6648799180984497,0.9982132744972885,3.320221185684204,0.7899720072746277,False,False
ctrl_norm-minmax__standard-standard-lstm-posnone-caoff_patched__539bf738,ok,electricity_removed,64,3,minmax,standard,lstm,standard,none,off,bi,4,False,False,db4,3,symmetric,all,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_norm-minmax__standard-standard-lstm-posnone-caoff_patched__539bf738.pt,1.077398657798767,0.8438352346420288,1.037978158632814,5.060117244720459,-0.07895386219024658,False,False
ctrl_wavelet-db4-L4-symmetric-approx__standard-standard-lstm-posnone-caoff_patch__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,db4,4,symmetric,approx,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_wavelet-db4-L4-symmetric-approx__standard-standard-lstm-posnone-caoff_patch__539bf738.pt,1.1366825103759766,0.7195621132850647,1.0661531364564738,4.554762363433838,0.7257993221282959,False,False
ctrl_norm-none__standard-standard-lstm-posnone-caoff_patched__539bf738,ok,electricity_removed,64,3,none,standard,lstm,standard,none,off,bi,4,False,False,db4,3,symmetric,all,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_norm-none__standard-standard-lstm-posnone-caoff_patched__539bf738.pt,62803684.0,1448.24755859375,7924.877538486005,13179.828125,-62894340.0,False,False
